matchId,matchDate,matchType,accessId,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
652a8e316bad4580f944609b,2023-10-14T22:00:13,52,1387fc3973a29571cb473060,1MBA5O,202310,패,0,0,1,0,0,0,84,4,50,0,4.0,keyboard,7,6,0,1,1,0,1,0,0,0,4,1,3,0,0,0,102,88,65,65,11,1,0,0,4,3,19,18,2,1,6,1,6,4
652a8e316bad4580f944609b,2023-10-14T22:00:13,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,67,3,50,0,4.13889,keyboard,5,5,0,2,2,0,2,1,0,0,4,2,1,0,0,0,84,71,46,44,8,2,1,0,2,2,23,20,4,3,7,1,6,4
652a8b86d85e36f738054ee2,2023-10-14T21:48:13,52,1d8450ef71aa816cfd494356,산공유,202310,무,0,0,0,0,0,0,87,5,50,0,4.13889,keyboard,9,7,0,2,2,0,2,0,0,0,7,2,2,0,0,0,111,103,68,67,7,4,1,1,6,6,23,21,5,4,5,1,3,2
652a8b86d85e36f738054ee2,2023-10-14T21:48:13,52,a462e137d856e9c95a3da317,롯데마트과자도둑,202310,무,0,0,0,0,0,0,85,1,50,0,4.18889,keyboard,5,3,0,2,2,0,0,0,0,0,4,2,1,0,0,0,104,97,65,65,4,2,0,0,10,9,19,17,6,4,6,0,7,7
652a83b392292dcfa8efb9eb,2023-10-14T21:14:42,52,52218945fa75ba12f64114dc,배곧동명사수,202310,패,0,0,0,0,0,0,89,3,50,2,3.41111,keyboard,4,3,0,0,0,0,1,0,0,0,3,0,1,0,0,0,112,100,74,73,9,2,0,0,1,1,24,22,3,2,7,0,6,2
652a83b392292dcfa8efb9eb,2023-10-14T21:14:42,52,1d8450ef71aa816cfd494356,산공유,202310,승,0,0,0,0,0,0,84,3,50,0,4.8,keyboard,6,6,0,4,4,0,3,3,0,0,6,4,0,0,0,0,116,105,67,66,8,4,1,0,8,8,29,26,3,1,6,0,6,3
652a8147938217228b5814ce,2023-10-14T21:03:45,52,088830257e2b3f88adeaa471,FC온라인곧망,202310,무,0,0,0,0,0,0,74,1,43,0,4.05,keyboard,6,4,0,1,1,0,1,1,0,0,4,1,2,0,0,0,93,81,59,54,6,1,0,0,3,3,19,18,6,5,4,2,5,5
652a8147938217228b5814ce,2023-10-14T21:03:45,52,1d8450ef71aa816cfd494356,산공유,202310,무,0,0,1,1,0,0,111,1,57,0,4.11667,keyboard,4,4,0,1,1,0,0,0,0,0,1,1,3,0,0,0,124,118,93,92,3,1,0,0,7,6,19,18,2,1,9,1,10,7
652a7ebccadb342d7ab3eb23,2023-10-14T20:53:29,52,20796dcae99ebec3b55c3dba,빙싱용FC,202310,승,0,0,1,2,0,0,94,3,56,0,4.5,keyboard,9,9,0,3,3,0,1,0,1,0,7,3,2,0,0,0,127,123,87,87,7,4,2,2,4,4,24,24,3,2,0,0,7,5
652a7ebccadb342d7ab3eb23,2023-10-14T20:53:29,52,1d8450ef71aa816cfd494356,산공유,202310,패,0,0,1,0,0,0,79,0,44,0,3.63889,keyboard,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,95,85,60,57,5,1,0,0,3,3,22,20,4,4,5,1,3,3
